gan_env) teaching@dslab:~/pathon$ python train1.py 
Training on device: CUDA with Shared CPU Memory & AMP
Update: 39/130 | Steps: 2396160 | SPS: 9685 | Ret: 16.04 | Len: 171.8 | Goal: 5.0% | v_loss: 9.3170 | approx_kl: 0.0084
Update: 40/130 | Steps: 2457600 | SPS: 9686 | Ret: 9.53 | Len: 171.2 | Goal: 8.0% | v_loss: 13.1365 | approx_kl: 0.0071
Update: 41/130 | Steps: 2519040 | SPS: 9685 | Ret: 9.29 | Len: 140.8 | Goal: 10.0% | v_loss: 12.8656 | approx_kl: 0.0059
Update: 42/130 | Steps: 2580480 | SPS: 9688 | Ret: 21.22 | Len: 205.7 | Goal: 13.0% | v_loss: 11.5195 | approx_kl: 0.0083
Update: 43/130 | Steps: 2641920 | SPS: 9685 | Ret: 5.82 | Len: 200.4 | Goal: 7.0% | v_loss: 13.9166 | approx_kl: 0.0087
Update: 44/130 | Steps: 2703360 | SPS: 9683 | Ret: 7.90 | Len: 198.4 | Goal: 8.0% | v_loss: 13.4323 | approx_kl: 0.0103
Update: 45/130 | Steps: 2764800 | SPS: 9686 | Ret: 13.25 | Len: 242.8 | Goal: 14.0% | v_loss: 11.4647 | approx_kl: 0.0089
Update: 46/130 | Steps: 2826240 | SPS: 9684 | Ret: 20.63 | Len: 167.3 | Goal: 13.0% | v_loss: 13.6708 | approx_kl: 0.0056
Update: 47/130 | Steps: 2887680 | SPS: 9682 | Ret: 12.36 | Len: 160.5 | Goal: 13.0% | v_loss: 14.7975 | approx_kl: 0.0083
Update: 48/130 | Steps: 2949120 | SPS: 9680 | Ret: 22.62 | Len: 173.1 | Goal: 11.0% | v_loss: 11.3233 | approx_kl: 0.0049
Update: 49/130 | Steps: 3010560 | SPS: 9684 | Ret: 16.93 | Len: 174.6 | Goal: 14.0% | v_loss: 9.9579 | approx_kl: 0.0077
Update: 50/130 | Steps: 3072000 | SPS: 9681 | Ret: 13.97 | Len: 162.4 | Goal: 9.0% | v_loss: 11.4434 | approx_kl: 0.0044
Update: 51/130 | Steps: 3133440 | SPS: 9679 | Ret: 20.78 | Len: 170.7 | Goal: 7.0% | v_loss: 11.6768 | approx_kl: 0.0056
Update: 52/130 | Steps: 3194880 | SPS: 9677 | Ret: 22.71 | Len: 183.3 | Goal: 8.0% | v_loss: 10.8756 | approx_kl: 0.0105
Update: 53/130 | Steps: 3256320 | SPS: 9675 | Ret: 16.70 | Len: 122.5 | Goal: 14.0% | v_loss: 12.8093 | approx_kl: 0.0049
Update: 54/130 | Steps: 3317760 | SPS: 9669 | Ret: 20.99 | Len: 196.9 | Goal: 12.0% | v_loss: 14.1965 | approx_kl: 0.0104
Update: 55/130 | Steps: 3379200 | SPS: 9667 | Ret: 19.51 | Len: 155.1 | Goal: 10.0% | v_loss: 10.3529 | approx_kl: 0.0063
Update: 56/130 | Steps: 3440640 | SPS: 9667 | Ret: 15.75 | Len: 141.4 | Goal: 11.0% | v_loss: 13.3262 | approx_kl: 0.0061
Update: 57/130 | Steps: 3502080 | SPS: 9665 | Ret: 15.74 | Len: 123.5 | Goal: 13.0% | v_loss: 12.8926 | approx_kl: 0.0066
Update: 58/130 | Steps: 3563520 | SPS: 9660 | Ret: 18.07 | Len: 111.5 | Goal: 15.0% | v_loss: 11.0159 | approx_kl: 0.0072
Update: 59/130 | Steps: 3624960 | SPS: 9657 | Ret: 28.48 | Len: 163.9 | Goal: 15.0% | v_loss: 14.4371 | approx_kl: 0.0069
Update: 60/130 | Steps: 3686400 | SPS: 9654 | Ret: 24.56 | Len: 200.1 | Goal: 18.0% | v_loss: 17.3916 | approx_kl: 0.0085
Update: 61/130 | Steps: 3747840 | SPS: 9650 | Ret: 8.40 | Len: 97.9 | Goal: 7.0% | v_loss: 18.6334 | approx_kl: 0.0083
Update: 62/130 | Steps: 3809280 | SPS: 9648 | Ret: 31.34 | Len: 132.5 | Goal: 18.0% | v_loss: 15.6929 | approx_kl: 0.0085
Update: 63/130 | Steps: 3870720 | SPS: 9644 | Ret: 29.94 | Len: 152.5 | Goal: 22.0% | v_loss: 15.2143 | approx_kl: 0.0075
Update: 64/130 | Steps: 3932160 | SPS: 9643 | Ret: 28.30 | Len: 171.2 | Goal: 17.0% | v_loss: 12.2454 | approx_kl: 0.0103
Update: 65/130 | Steps: 3993600 | SPS: 9638 | Ret: 21.34 | Len: 102.8 | Goal: 14.0% | v_loss: 17.4058 | approx_kl: 0.0049

[Callback] Recording evaluation episode at step 4000020...
[Callback] Replay saved: ./replays/replay_step_4000020.json (1000 frames)

Update: 66/130 | Steps: 4055040 | SPS: 8733 | Ret: 18.10 | Len: 113.2 | Goal: 16.0% | v_loss: 18.1084 | approx_kl: 0.0034
Update: 67/130 | Steps: 4116480 | SPS: 8742 | Ret: 21.75 | Len: 114.0 | Goal: 11.0% | v_loss: 18.2846 | approx_kl: 0.0092
Update: 68/130 | Steps: 4177920 | SPS: 8753 | Ret: 10.25 | Len: 124.8 | Goal: 13.0% | v_loss: 17.0289 | approx_kl: 0.0104
Update: 69/130 | Steps: 4239360 | SPS: 8763 | Ret: 11.32 | Len: 80.9 | Goal: 14.0% | v_loss: 15.4691 | approx_kl: 0.0058
Update: 70/130 | Steps: 4300800 | SPS: 8770 | Ret: 21.40 | Len: 111.8 | Goal: 14.0% | v_loss: 19.7180 | approx_kl: 0.0062
Update: 71/130 | Steps: 4362240 | SPS: 8776 | Ret: 20.88 | Len: 135.2 | Goal: 18.0% | v_loss: 15.6674 | approx_kl: 0.0083
Update: 72/130 | Steps: 4423680 | SPS: 8784 | Ret: 23.25 | Len: 123.8 | Goal: 19.0% | v_loss: 16.2428 | approx_kl: 0.0088
Update: 73/130 | Steps: 4485120 | SPS: 8792 | Ret: 21.19 | Len: 121.7 | Goal: 11.0% | v_loss: 18.2368 | approx_kl: 0.0080
Update: 74/130 | Steps: 4546560 | SPS: 8799 | Ret: 25.46 | Len: 114.0 | Goal: 16.0% | v_loss: 14.1981 | approx_kl: 0.0058
Update: 75/130 | Steps: 4608000 | SPS: 8805 | Ret: 24.62 | Len: 131.4 | Goal: 18.0% | v_loss: 14.1252 | approx_kl: 0.0071
Update: 76/130 | Steps: 4669440 | SPS: 8813 | Ret: 20.59 | Len: 111.9 | Goal: 10.0% | v_loss: 17.3822 | approx_kl: 0.0043
Update: 77/130 | Steps: 4730880 | SPS: 8819 | Ret: 16.84 | Len: 86.9 | Goal: 13.0% | v_loss: 16.8490 | approx_kl: 0.0109
Update: 78/130 | Steps: 4792320 | SPS: 8824 | Ret: 24.09 | Len: 107.7 | Goal: 17.0% | v_loss: 16.3862 | approx_kl: 0.0061
Update: 79/130 | Steps: 4853760 | SPS: 8829 | Ret: 26.41 | Len: 142.5 | Goal: 15.0% | v_loss: 19.0543 | approx_kl: 0.0065
Update: 80/130 | Steps: 4915200 | SPS: 8833 | Ret: 23.82 | Len: 110.0 | Goal: 15.0% | v_loss: 17.4148 | approx_kl: 0.0092
Update: 81/130 | Steps: 4976640 | SPS: 8838 | Ret: 26.82 | Len: 114.2 | Goal: 19.0% | v_loss: 17.3650 | approx_kl: 0.0061
Update: 82/130 | Steps: 5038080 | SPS: 8842 | Ret: 28.83 | Len: 122.4 | Goal: 19.0% | v_loss: 17.1535 | approx_kl: 0.0039
Update: 83/130 | Steps: 5099520 | SPS: 8846 | Ret: 21.39 | Len: 89.5 | Goal: 15.0% | v_loss: 18.3952 | approx_kl: 0.0059
Update: 84/130 | Steps: 5160960 | SPS: 8851 | Ret: 18.47 | Len: 118.1 | Goal: 17.0% | v_loss: 17.1325 | approx_kl: 0.0095
Update: 85/130 | Steps: 5222400 | SPS: 8855 | Ret: 25.20 | Len: 102.2 | Goal: 12.0% | v_loss: 19.7129 | approx_kl: 0.0063
Update: 86/130 | Steps: 5283840 | SPS: 8860 | Ret: 24.97 | Len: 76.7 | Goal: 16.0% | v_loss: 18.7746 | approx_kl: 0.0074
Update: 87/130 | Steps: 5345280 | SPS: 8865 | Ret: 25.14 | Len: 138.0 | Goal: 17.0% | v_loss: 16.7035 | approx_kl: 0.0073
Update: 88/130 | Steps: 5406720 | SPS: 8868 | Ret: 26.61 | Len: 104.7 | Goal: 21.0% | v_loss: 16.6910 | approx_kl: 0.0067
Update: 89/130 | Steps: 5468160 | SPS: 8871 | Ret: 31.32 | Len: 111.8 | Goal: 25.0% | v_loss: 19.9088 | approx_kl: 0.0056
Update: 90/130 | Steps: 5529600 | SPS: 8875 | Ret: 23.09 | Len: 87.3 | Goal: 19.0% | v_loss: 20.4746 | approx_kl: 0.0083
Update: 91/130 | Steps: 5591040 | SPS: 8878 | Ret: 22.30 | Len: 80.3 | Goal: 21.0% | v_loss: 25.4654 | approx_kl: 0.0046
Update: 92/130 | Steps: 5652480 | SPS: 8881 | Ret: 27.92 | Len: 97.8 | Goal: 19.0% | v_loss: 22.0714 | approx_kl: 0.0077
Update: 93/130 | Steps: 5713920 | SPS: 8883 | Ret: 26.84 | Len: 87.0 | Goal: 22.0% | v_loss: 20.0821 | approx_kl: 0.0049
Update: 94/130 | Steps: 5775360 | SPS: 8886 | Ret: 24.27 | Len: 109.7 | Goal: 14.0% | v_loss: 21.9925 | approx_kl: 0.0046
Update: 95/130 | Steps: 5836800 | SPS: 8890 | Ret: 33.24 | Len: 111.3 | Goal: 20.0% | v_loss: 19.5367 | approx_kl: 0.0050
Update: 96/130 | Steps: 5898240 | SPS: 8895 | Ret: 30.16 | Len: 115.6 | Goal: 22.0% | v_loss: 23.5358 | approx_kl: 0.0085
Update: 97/130 | Steps: 5959680 | SPS: 8899 | Ret: 27.01 | Len: 90.3 | Goal: 16.0% | v_loss: 23.5803 | approx_kl: 0.0096

[Callback] Recording evaluation episode at step 6000000...
[Callback] Replay saved: ./replays/replay_step_6000000.json (29 frames)

Update: 98/130 | Steps: 6021120 | SPS: 8883 | Ret: 19.04 | Len: 76.3 | Goal: 9.0% | v_loss: 18.4941 | approx_kl: 0.0078
Update: 99/130 | Steps: 6082560 | SPS: 8886 | Ret: 28.42 | Len: 93.8 | Goal: 21.0% | v_loss: 18.4987 | approx_kl: 0.0076
Update: 100/130 | Steps: 6144000 | SPS: 8888 | Ret: 26.89 | Len: 100.2 | Goal: 25.0% | v_loss: 20.7340 | approx_kl: 0.0039
Update: 101/130 | Steps: 6205440 | SPS: 8889 | Ret: 24.87 | Len: 98.3 | Goal: 14.0% | v_loss: 21.7941 | approx_kl: 0.0073
Update: 102/130 | Steps: 6266880 | SPS: 8891 | Ret: 23.01 | Len: 61.6 | Goal: 7.0% | v_loss: 21.0658 | approx_kl: 0.0039
Update: 103/130 | Steps: 6328320 | SPS: 8894 | Ret: 32.44 | Len: 98.4 | Goal: 18.0% | v_loss: 20.8512 | approx_kl: 0.0043
Update: 104/130 | Steps: 6389760 | SPS: 8895 | Ret: 21.36 | Len: 86.5 | Goal: 18.0% | v_loss: 23.4037 | approx_kl: 0.0044
Update: 105/130 | Steps: 6451200 | SPS: 8899 | Ret: 24.74 | Len: 88.4 | Goal: 13.0% | v_loss: 21.8467 | approx_kl: 0.0066
Update: 106/130 | Steps: 6512640 | SPS: 8901 | Ret: 31.40 | Len: 89.4 | Goal: 21.0% | v_loss: 23.7666 | approx_kl: 0.0052
Update: 107/130 | Steps: 6574080 | SPS: 8903 | Ret: 26.12 | Len: 123.0 | Goal: 16.0% | v_loss: 22.1357 | approx_kl: 0.0080
Update: 108/130 | Steps: 6635520 | SPS: 8906 | Ret: 24.32 | Len: 98.0 | Goal: 20.0% | v_loss: 21.5411 | approx_kl: 0.0078
Update: 109/130 | Steps: 6696960 | SPS: 8909 | Ret: 31.95 | Len: 87.2 | Goal: 15.0% | v_loss: 23.3220 | approx_kl: 0.0068
Update: 110/130 | Steps: 6758400 | SPS: 8911 | Ret: 34.12 | Len: 111.0 | Goal: 21.0% | v_loss: 21.9772 | approx_kl: 0.0089
Update: 111/130 | Steps: 6819840 | SPS: 8913 | Ret: 18.65 | Len: 95.4 | Goal: 15.0% | v_loss: 20.9178 | approx_kl: 0.0056
Update: 112/130 | Steps: 6881280 | SPS: 8915 | Ret: 26.84 | Len: 110.5 | Goal: 21.0% | v_loss: 21.4939 | approx_kl: 0.0061
